"is_canceled","lead_time","previous_cancellations","is_repeated_guest","average_daily_rate"
"1",1,1,1,98.1
"1",19,0,0,70.17
"0",9,0,0,193.4
"0",110,0,0,36.24
"0",329,0,0,89.1
"0",212,0,0,89.75
"0",14,0,1,43
"0",58,0,0,85
"1",88,0,0,117
"1",373,0,0,90
"0",36,0,0,77.99
"1",60,0,0,116.1
"0",5,0,0,88
"0",1,0,0,107.67
"0",1,0,0,106
"0",3,0,0,110
"0",44,0,0,131.4
"1",57,0,0,116.45
"1",34,1,0,90
"0",81,0,0,118.02
"0",6,0,0,49.59
"0",59,0,0,90
"1",292,1,0,62
"0",26,0,0,63.17
"1",127,0,0,159.5
"1",37,0,0,145.8
"1",83,0,0,98
"0",14,0,0,75
"0",4,0,0,45
"0",31,0,0,43.2
"1",34,0,0,62
"1",87,0,0,180
"0",77,0,0,90.95
"0",9,0,0,67
"0",46,0,0,129.6
"0",137,0,0,93
"0",2,0,0,58.5
"0",76,0,0,304
"0",110,0,0,133
"1",274,1,0,62
"1",178,0,0,103.69
"1",10,0,0,115
"0",0,0,0,56.1
"1",277,1,0,48.5
"1",215,0,0,110
"0",82,0,0,147
"1",159,0,0,97
"0",180,0,0,100
"1",17,0,0,81
"0",86,0,0,52.56
"0",19,0,0,60
"0",50,0,0,145.8
"1",69,0,0,120
"0",4,0,0,99.5
"0",0,0,1,178.5
"0",0,0,0,80
"1",312,1,0,60
"0",94,0,0,44
"0",148,0,0,119.7
"1",517,0,0,62.8
"1",223,0,0,133.2
"0",211,0,0,77.03
"1",248,0,0,106
"0",76,0,0,101.8
"1",231,0,0,122.4
"0",6,0,0,94.5
"0",38,0,0,35
"0",273,0,0,109
"1",10,0,0,71.19
"1",320,0,0,89.1
"0",8,0,0,79.4
"0",287,0,0,37
"0",74,0,0,99.45
"0",155,0,0,170
"0",28,0,0,32.31
"0",10,0,0,107
"0",73,0,0,43.2
"1",67,0,0,76.5
"0",10,0,0,150.2
"1",128,0,0,64
"0",161,0,0,82.35
"1",9,0,0,158
"0",24,0,0,230
"0",26,0,0,155.5
"0",118,0,0,110
"0",176,0,0,151.4
"1",6,0,0,72
"0",25,0,0,80.85
"1",46,0,0,179
"1",188,0,0,175.5
"1",248,0,0,125.1
"0",197,0,0,72.25
"0",52,0,0,57
"0",106,0,0,100.8
"0",22,0,0,163.5
"0",32,0,0,59
"0",86,0,0,100
"1",272,1,0,62
"0",423,0,0,95.5
"1",77,0,0,214
"0",177,0,0,104.4
"1",330,1,0,62
"0",143,0,0,78.6
"0",23,0,0,29
"1",56,0,0,120
"0",63,0,0,153.67
"1",34,0,0,169
"1",1,0,0,160
"0",240,0,0,118
"0",66,0,0,165
"0",52,0,0,85.16
"0",2,0,0,130
"0",156,0,0,94.5
"1",164,0,0,160
"0",33,0,0,120
"1",124,0,0,118.8
"0",102,0,0,109
"1",275,0,0,90
"0",5,0,0,88.12
"1",444,1,0,75
"0",10,0,0,149
"0",10,0,0,158.58
"0",0,0,0,114
"1",25,0,0,90
"0",43,0,0,46.8
"0",13,0,0,90
"1",56,0,0,159.3
"0",13,0,1,38
"0",80,0,0,96.3
"0",136,0,0,106.25
"0",133,0,0,124
"0",7,0,0,90
"0",131,0,0,113.05
"0",28,0,0,40.5
"1",8,0,0,124
"0",29,0,0,56
"0",230,0,0,117
"0",147,0,0,99.45
"0",2,0,0,50.4
"0",152,0,0,53.25
"1",105,0,0,75
"0",2,0,0,115
"1",195,0,0,104.4
"1",134,0,0,75
"0",28,0,0,114
"1",184,0,0,130
"1",14,0,0,60
"1",221,0,0,60
"0",13,0,0,123.67
"0",13,0,0,41.4
"0",55,0,0,124.1
"0",1,0,1,67.5
"1",46,0,0,90
"0",66,0,0,79.2
"1",205,0,0,120
"1",71,0,0,120
"0",3,0,0,275
"1",57,0,0,225
"0",25,0,0,120
"0",23,0,0,151
"0",209,0,0,99.02
"1",34,1,0,90
"1",43,0,0,48
"1",72,0,0,76.5
"0",140,0,0,88.77
"1",74,0,0,101.5
"0",48,0,0,65
"0",48,0,0,77
"1",180,1,0,125
"1",181,0,0,124.2
"0",225,0,0,79.84
"1",102,0,0,138.6
"1",105,0,0,160
"0",153,0,0,91.38
"1",150,0,0,120
"1",40,0,0,70.4
"1",163,0,0,188.03
"1",19,1,1,90
"0",39,0,0,87
"0",100,0,0,83
"0",47,0,0,85.5
"1",0,0,1,58
"0",65,0,0,68
"0",36,0,0,75
"0",49,0,0,38
"1",34,0,0,283.6
"0",89,0,0,116.1
"0",0,0,0,0
"0",107,0,0,82
"0",1,0,0,133
"1",37,0,0,46
"0",4,0,0,98
"1",114,0,0,75
"0",27,0,0,167.2
"0",47,0,0,100
"1",23,1,0,90
"1",275,26,0,50
"1",150,0,0,101
"1",72,0,0,126.64
"1",11,0,0,203.5
"0",98,0,0,144.14
"0",0,0,1,0
"1",247,1,0,81
"0",36,0,0,88
"0",77,0,0,132.3
"0",7,0,0,93
"1",22,0,0,133
"0",11,0,0,108.15
"1",212,0,0,78
"1",92,0,0,100
"0",272,0,0,135.9
"1",239,1,0,60
"1",379,1,0,62
"1",30,0,0,170.63
"0",6,0,0,119
"1",67,0,0,99.71
"1",129,0,0,67
"0",174,0,0,166.7
"0",138,0,0,130.5
"0",0,0,1,38
"1",124,0,0,105.61
"0",3,0,0,62.37
"0",123,0,0,60
"1",205,0,0,120
"1",9,0,0,168
"1",4,0,0,181
"1",241,0,0,79.2
"0",8,0,0,149
"0",12,0,0,90
"1",321,0,0,89.87
"1",125,0,0,85
"1",87,0,0,58
"0",0,0,0,58
"0",220,0,0,102
"1",82,1,0,96
"1",72,0,0,179
"1",14,0,0,159
"1",35,0,0,114.98
"0",33,0,0,180
"1",25,0,0,65
"0",327,0,0,117.48
"0",26,0,0,120.12
"1",379,1,0,62
"0",252,0,1,0
"0",126,0,0,62.5
"0",207,0,0,141.46
"1",152,0,0,56.72
"0",71,0,0,132.6
"0",48,0,0,86.3
"0",8,0,0,91
"0",10,0,0,186
"0",0,0,0,131
"0",0,0,0,80
"0",30,0,0,59.8
"0",14,0,0,139
"1",328,0,0,0
"0",406,0,0,85.88
"0",35,0,0,65
"0",14,0,0,150
"0",4,0,0,6
"1",111,0,0,181.5
"1",226,0,0,118.15
"0",117,0,0,52.2
"0",134,0,0,90
"0",15,0,0,106.2
"1",62,0,0,135
"0",7,0,0,183
"0",74,0,0,55.59
"0",13,0,0,177.62
"0",9,0,0,76
"0",10,0,1,45
"0",61,0,0,157.85
"1",407,0,0,90
"0",13,0,0,236
"0",60,0,0,105.25
"1",12,0,0,62
"0",55,0,0,75
"0",2,0,0,40
"1",113,0,0,42
"0",308,0,0,78.3
"0",6,0,0,106
"0",468,0,0,67
"1",143,0,0,220
"0",88,0,0,96.3
"0",42,0,0,62.8
"0",50,0,0,123.3
"1",85,0,0,120
"1",123,0,0,139.5
"0",457,0,0,122.4
"1",3,0,0,145
"1",120,0,0,108
"0",66,0,0,72.25
"0",159,0,0,104.4
"0",3,0,0,95
"0",109,0,0,43.5
"0",44,0,0,36.45
"0",126,0,0,123.3
"1",277,0,0,110
"1",15,0,0,194
"0",190,0,0,47.9
"1",33,0,0,181.8
"0",28,0,0,166.14
"0",82,0,0,189
"1",35,0,0,75
"0",1,0,0,97
"0",2,0,1,0
"0",61,0,0,68
"0",156,0,0,80
"1",342,0,0,60
"1",104,0,0,135
"0",17,0,0,73.92
"1",235,0,0,142.1
"1",192,0,0,95
"0",137,0,0,165.75
"0",219,0,0,96
"1",5,0,0,187
"0",19,0,0,90
"0",26,0,0,103.76
"1",93,0,0,82
"0",55,0,0,126
"0",9,0,1,99
"0",15,0,0,84.33
"1",82,1,1,86
"1",195,0,0,126.14
"1",245,0,0,110
"0",17,0,0,236
"0",0,0,0,85
"0",215,0,0,68.06
"0",41,0,0,87
"0",55,0,0,168.3
"0",117,0,0,95.2
"1",173,0,0,212.16
"1",82,0,0,85.5
"0",174,0,0,89.1
"1",28,0,0,120
"0",312,0,0,58
"0",129,0,0,59
"0",40,0,0,64
"0",5,0,0,86.6
"0",1,0,0,153
"0",2,0,0,39.5
"1",66,0,0,170.9
"0",181,0,0,74.49
"0",1,0,0,0
"0",132,0,0,90.9
"0",200,0,0,175.5
"1",128,0,0,123.3
"0",118,0,0,115
"0",86,0,0,72.42
"1",151,0,0,200
"0",35,0,0,119
"1",113,0,0,85
"0",0,0,1,43
"0",11,0,0,104
"1",27,0,0,62
"0",151,0,0,137.13
"1",27,0,0,115
"0",120,0,0,40.5
"0",21,0,0,58
"0",140,0,0,75
"1",147,0,0,146.1
"1",244,0,0,212
"0",21,0,0,42
"0",47,0,0,55.24
"1",61,0,0,159.3
"0",4,0,0,43
"1",192,1,0,135
"1",186,0,0,99
"0",41,0,0,46.4
"1",283,1,0,62
"1",437,0,0,60
"0",38,0,0,0
"1",155,0,0,89.1
"1",351,0,0,62
"0",136,0,0,115
"1",353,1,0,62
"0",85,0,0,131.4
"1",283,1,0,62
"0",8,0,0,30
"1",90,0,0,149.33
"1",531,0,0,62.8
"1",239,0,0,112.2
"1",101,0,0,140
"0",1,0,0,80
"0",237,0,0,61.68
"1",79,0,0,150.45
"1",38,0,0,75
"0",160,0,0,129
"1",69,0,0,49.22
"0",1,0,0,108
"1",114,0,0,75
"1",67,0,0,250
"1",118,0,0,80.1
"0",0,0,0,165
"0",9,0,0,110
"0",38,0,0,71.82
"1",72,0,0,156.61
"0",16,1,0,70
"1",116,0,0,100
"1",125,0,0,118.2
"0",43,0,0,63
"0",32,0,0,94.94
"0",34,0,0,98.1
"0",110,0,0,58
"0",0,0,0,89
"0",41,0,0,89.29
"0",32,0,0,85
"0",239,0,0,107.1
"1",13,0,0,160
"0",13,0,0,90
"1",104,0,0,114
"0",54,0,0,49.4
"0",138,0,0,108
"0",172,0,0,174
"0",117,0,0,105.3
"1",99,1,0,80
"0",50,0,0,79.2
"0",9,0,0,160
"1",162,0,0,175.5
"0",7,0,1,33
"0",1,0,0,84
"0",6,0,0,106
"1",9,0,0,123.33
"0",18,0,0,59.5
"1",238,0,0,47
"0",60,0,0,120
"0",46,0,0,46
"0",112,0,0,224.67
"0",185,0,0,90
"0",342,0,0,36
"1",276,0,0,95
"0",119,0,0,90.7
"0",212,0,0,99
"0",40,0,0,85
"1",292,1,0,62
"0",42,0,0,234
"1",226,1,0,55.8
"0",3,0,0,271
"0",30,0,0,94
"0",215,0,0,116.5
"0",35,0,0,129
"0",33,0,0,40
"0",75,0,0,115.85
"1",14,0,0,126
"1",82,0,0,72
"0",27,0,0,115
"1",97,0,0,126
"1",213,0,0,130
"1",1,0,0,60
"0",10,0,0,85.29
"0",8,0,0,62.37
"1",215,0,0,110
"1",28,0,0,55.2
"1",22,0,0,186.25
"1",489,0,0,62.8
"0",17,0,0,0
"1",8,0,0,146
"1",126,0,0,89.25
"0",6,0,0,120.33
"1",188,0,0,130
"1",338,0,0,80
"0",0,0,1,0
"0",50,0,0,75.95
"0",63,0,0,167.45
"0",19,0,0,107
"0",0,0,0,95.94
"0",24,0,0,85
"0",38,0,0,143
"0",281,0,0,126.3
"1",24,0,0,85
"1",26,0,0,175
"1",158,0,0,130
"1",50,0,0,72.9
"0",130,0,0,108
"0",27,0,0,181.75
"0",42,0,0,88
"0",49,0,0,79.2
"0",7,0,0,73.33
"0",1,0,0,170
"0",48,0,0,94.97
"0",134,0,0,75
"1",116,0,0,72
"1",248,0,0,80.75
"1",129,0,0,100
"0",82,0,0,33.3
"0",23,0,0,116.03
"0",377,0,0,115
"1",118,0,0,95.81
"0",147,0,0,162
"0",104,0,0,203
"0",289,0,0,57
"1",41,0,0,130
"1",72,0,0,84.4
"1",2,0,0,45.9
"1",39,0,0,74.8
"0",1,0,0,150
"0",53,0,0,26.1
"0",1,0,0,106.54
"1",37,0,0,105
"0",226,0,0,64.25
"0",24,0,0,83
"0",41,0,0,123.3
"1",192,1,0,135
"1",42,0,0,90
"1",129,0,0,100
"1",131,0,0,92.25
"1",496,0,0,51.4
"0",140,0,0,85
"0",100,0,0,107
"1",538,0,0,62.8
"0",335,0,0,80
"0",159,0,0,144
"0",327,0,0,61.4
"1",179,0,0,179.92
"1",216,1,0,57.6
"0",0,0,0,75
"0",35,0,0,60
"1",60,0,0,92.7
"1",0,0,1,77
"0",5,0,0,63.72
"1",290,1,0,62
"0",190,0,0,167.8
"0",101,0,0,98
"1",350,1,0,90
"1",55,0,0,179
"1",88,0,0,96.3
"1",103,0,0,126.72
"0",85,0,0,96.3
"1",207,0,0,81.6
"0",0,0,0,93
"0",11,0,0,104.33
"0",116,0,0,75
"1",25,0,0,32
"0",68,0,0,100
"0",25,0,0,62
"0",55,0,0,75
"0",0,0,0,64.5
"0",141,0,0,92.43
"1",185,0,0,103.5
"1",247,1,0,81
"1",149,0,0,91.6
"1",206,0,0,67.5
"1",405,0,0,80
"1",34,0,0,140
"0",3,0,0,129
"0",76,0,0,89.1
"0",131,0,0,37.8
"0",104,0,0,84.95
"0",2,0,0,95
"1",2,0,0,0
"1",252,0,0,163.63
"0",5,0,0,70
"0",42,0,0,150
"0",58,0,0,80.3
"0",297,0,0,54
"0",6,0,0,77
"0",159,0,0,70
"0",134,0,0,141.67
"1",279,0,0,110
"0",17,0,0,135
"0",163,0,0,131.5
"0",2,0,1,65
"0",85,0,0,89.1
"0",75,0,0,191
"0",14,0,0,147
"1",97,0,0,157.25
"0",337,0,0,46.4
"0",1,0,0,64
"1",238,0,0,89
"1",88,0,0,148.4
"0",62,0,0,124.5
"0",316,0,0,117
"0",48,0,0,97.2
"1",37,0,0,270
"0",115,0,0,56
"1",97,0,0,140
"0",106,0,0,82.45
"0",224,0,0,89.1
"0",101,0,0,134.1
"1",52,1,1,88.4
"1",30,0,0,159
"1",247,0,0,46.8
"0",72,0,0,85.67
"0",181,0,0,85.5
"0",10,0,0,65
"0",180,0,0,120
"0",1,0,1,130.5
"1",40,0,0,62
"0",36,0,0,229
"0",97,0,0,120
"1",37,0,0,191.4
"1",335,0,0,90
"0",0,0,0,75
"0",34,0,0,59.4
"0",3,0,1,65
"0",16,0,0,185
"0",17,0,1,80
"0",48,0,0,140.4
"1",178,0,0,135
"0",6,0,0,176.16
"1",222,25,0,49.95
"1",106,0,0,110.77
"0",297,0,0,65
"0",64,0,0,105.77
"0",84,0,0,168.71
"0",92,0,0,70
"1",219,0,0,130.5
"0",9,0,0,155
"1",0,0,0,149.4
"0",62,0,0,115
"0",4,0,0,122
"0",63,0,0,140
"1",0,0,0,109
"0",12,0,0,88.33
"0",0,0,0,135.67
"0",15,0,0,57
"0",85,0,0,85
"1",182,0,0,90
"0",29,0,0,65
"0",8,0,0,75
"0",0,0,0,152
"0",148,0,0,144
"1",183,0,0,146
"1",93,0,0,80
"1",129,0,0,67
"0",39,0,0,95
"0",56,0,0,44
"0",5,0,0,77.5
"1",29,0,0,132.05
"1",61,0,0,197.4
"1",150,0,0,142
"0",320,0,0,115
"1",290,1,0,62
"1",419,0,0,62
"0",265,0,0,83.33
"1",5,0,0,68
"1",92,0,0,85
"1",53,0,0,62
"0",11,0,0,104
"0",29,0,0,104
"1",196,0,0,85.5
"0",6,0,0,96
"1",48,0,0,195
"0",32,0,0,254
"0",68,0,0,79.2
"0",156,0,0,94.91
"0",60,0,0,76
"1",283,0,0,64.8
"0",26,0,0,48
"0",27,0,0,227
"0",364,0,0,69
"0",9,0,0,39
"0",47,0,0,164
"1",0,0,0,75
"0",298,0,0,76
"0",18,0,0,80.75
"0",63,0,0,87.5
"1",59,0,0,168.3
"1",21,1,0,132.4
"1",17,0,0,75
"0",198,0,0,93.6
"0",4,0,1,80
"0",16,0,0,60
"0",94,0,0,124.45
"1",81,0,0,162
"0",46,0,0,64.14
"0",85,0,0,90.9
"0",227,0,0,71.69
"0",151,0,0,188.86
"0",1,0,0,86
"0",138,0,0,222.02
"0",62,0,0,116.1
"0",83,0,0,62
"0",89,0,0,43.9
"0",249,0,0,120.55
"0",0,0,0,199
"1",37,0,0,105
"0",63,0,0,109.35
"0",36,0,0,118.8
"0",88,0,0,77.35
"0",203,0,0,48
"1",212,0,0,76.05
"0",27,0,0,110
"0",138,0,0,77.86
"0",88,0,0,117
"1",277,0,0,110
"0",29,0,0,122
"0",35,0,0,117.87
"1",38,0,0,171
"1",50,0,0,144
"0",1,0,0,34.4
"1",38,0,0,126.9
"1",19,0,0,108.8
"1",99,0,0,108
"0",269,0,0,70
"0",59,0,0,144.43
"0",23,0,0,88
"0",36,0,0,114.8
"0",368,0,0,112.67
"1",305,1,0,100
"0",236,0,0,100.4
"1",219,0,0,105
"1",146,0,0,131
"0",406,0,0,57.68
"0",27,0,0,140
"0",64,0,0,101.52
"1",0,0,0,79
"1",136,0,0,198.9
"1",186,0,0,130
"0",1,0,0,44
"0",119,0,0,202.33
"1",85,0,0,37.8
"0",71,0,0,167
"0",134,0,0,90
"1",155,0,0,37.8
"1",281,0,0,62
"0",61,0,0,70
"0",66,0,0,141.9
"1",162,0,0,185
"0",27,0,0,85
"1",327,1,0,60
"0",129,0,0,121.5
"1",43,0,0,123.9
"0",15,0,0,173
"0",303,0,0,73.95
"0",105,0,0,69
"1",311,1,0,62
"1",122,0,0,154.67
"1",308,0,0,52
"0",0,0,0,65
"1",121,0,0,82
"0",1,0,0,190
"0",96,0,0,94.5
"1",94,0,0,122.45
"1",230,0,0,157.7
"0",4,0,0,34
"1",63,0,0,116
"0",225,0,0,66
"0",77,0,0,68.04
"1",342,1,0,62
"1",105,0,0,126
"0",229,0,0,79.9
"0",9,0,0,89
"0",286,0,0,78.95
"1",44,0,0,74.8
"0",9,0,0,209
"0",49,0,0,68
"1",157,0,0,130
"0",14,0,0,64
"0",9,0,0,38
"0",49,0,1,218.6
"1",22,0,0,159
"0",3,0,0,49.3
"0",2,0,0,89
"1",192,0,0,164.63
"1",119,0,0,46.51
"1",24,0,0,97.58
"0",271,0,0,0
"0",47,0,0,65.75
"0",31,0,0,124
"0",292,0,0,81.6
"1",420,0,0,90
"0",47,0,0,85.5
"0",16,0,0,86
"1",164,0,0,76.46
"0",0,0,0,123.3
"0",79,0,0,120.6
"0",5,0,0,30
"1",166,0,0,110
"1",283,1,0,62
"0",115,0,0,65
"0",0,0,0,130
"0",68,0,0,135.13
"0",230,0,0,96.3
"0",51,0,0,0
"0",180,0,0,120
"0",202,0,0,37.8
"0",152,0,0,125.1
"0",149,0,0,154
"1",304,0,0,66
"0",0,0,1,67
"0",6,0,0,75
"0",169,0,0,66
"0",153,0,0,83.83
"0",14,0,0,180
"0",197,0,0,54.5
"1",140,0,0,70
"0",22,0,0,30.6
"0",0,0,0,110
"0",31,0,0,71
"1",161,0,0,104
"0",14,0,0,101.33
"0",50,0,0,124.58
"1",28,0,0,125.77
"0",17,0,0,107.5
"0",7,0,0,186
"1",71,0,0,120
"0",69,0,0,108
"1",372,0,0,62
"1",110,0,0,105.3
"1",290,0,0,72
"1",32,0,0,94.5
"0",1,0,0,65
"0",1,0,0,48
"0",377,0,0,115
"1",142,0,0,125
"1",18,0,0,48
"1",50,0,0,63.75
"0",229,0,0,157.28
"0",116,0,0,133.5
"0",0,0,1,129
"0",7,0,0,67.5
"1",148,0,0,67
"0",122,0,0,86
"0",155,0,0,97.75
"0",113,0,0,68.3
"0",29,0,0,152
"0",105,0,0,107.1
"1",37,0,0,131.4
"0",16,0,0,93
"0",95,0,0,166
"0",83,0,0,75
"0",40,0,0,55
"0",14,0,0,110.8
"1",80,0,0,90
"1",49,0,0,83.6
"1",14,0,0,116
"0",88,0,0,40.5
"0",13,0,0,125
"0",134,4,1,61.5
"1",37,0,0,105
"1",350,0,0,130
"0",14,0,0,84
"0",161,0,0,97.76
"1",156,0,0,100
"1",440,0,0,62
"1",197,1,0,80
"0",95,0,0,38.67
"1",110,0,0,126
"0",0,0,0,60
"1",155,0,0,76.5
"0",6,0,1,25
"0",70,0,1,42
"0",188,0,0,210
"0",74,0,0,107
"0",51,0,0,108
"0",152,0,0,67.88
"0",9,0,0,76
"1",183,0,0,148.5
"0",15,0,0,66
"1",277,0,0,100
"0",47,0,0,171
"0",0,0,0,105
"0",261,0,0,87
"0",207,0,0,74
"0",96,0,0,85
"0",542,0,0,70
"1",17,0,0,125.8
"0",2,0,0,38
"0",0,0,0,92.65
"1",26,0,0,128
"0",241,0,0,161.88
"1",158,0,0,130
"0",15,0,0,284.2
"0",132,0,0,106.3
"0",1,0,0,64
"1",319,0,0,68.08
"0",336,0,0,60
"0",135,0,0,79.2
"0",18,0,0,93
"0",327,0,0,93.5
"0",0,0,0,65.16
"0",3,0,0,55
"0",108,0,0,153.9
"0",145,0,0,182.25
"1",130,0,0,152
"0",157,0,0,127.8
"0",7,0,0,78.8
"0",1,0,0,48
"0",275,0,0,74.45
"0",65,0,0,180
"1",169,0,0,106
"1",28,0,0,140
"1",54,1,0,81
"0",138,0,0,60
"1",193,0,0,120
"1",110,0,0,165
"0",121,0,0,56
"0",23,0,0,110.58
"0",44,0,0,80
"0",18,0,0,93
"0",223,0,0,89.31
"1",237,0,0,153.75
"0",121,0,0,72
"0",203,0,0,46.98
"1",1,0,0,80
"0",2,0,0,56
"0",98,0,0,85
"0",211,0,0,129
"0",36,0,0,6
"0",186,0,0,119
"1",180,0,0,70
"1",123,0,0,89.92
"0",9,0,0,0
"1",194,0,0,183.75
"0",3,0,0,140
"0",216,0,0,51.84
"0",191,0,0,80.75
"0",132,0,0,90
"0",286,0,0,117
"0",14,0,0,100
"0",82,0,0,33.3
"1",179,0,0,110.68
"1",1,1,1,65
"0",17,0,0,230
"0",288,0,0,56.11
"0",317,0,0,108.9
"1",47,0,0,103.33
"0",457,0,0,122.4
"0",37,0,0,186.5
"0",0,0,0,119
"1",109,1,0,75
"1",444,1,0,75
"0",74,0,0,137.7
"0",36,0,0,100
"1",155,0,0,115
"0",95,0,0,59.5
"1",68,0,0,90
"0",2,0,1,42
"0",94,0,0,62
"0",157,0,0,70.4
"0",0,0,0,241
"0",14,0,0,80.24
"0",346,0,0,90
"0",24,0,0,95
"1",286,0,0,123.3
"0",111,0,0,82.45
"1",6,0,0,110.5
"1",23,0,0,104
"0",62,0,0,144
"1",47,0,0,148.63
"0",7,0,0,66
"0",199,0,0,126
"0",15,0,0,115.84
"0",175,0,0,126.63
"1",189,0,0,100
"0",1,0,0,50
"1",214,0,0,54
"1",113,0,0,85
"0",10,0,0,48
"0",1,0,0,162.5
"1",254,0,0,96
"0",213,0,0,68.6
"1",69,0,0,85
"1",297,0,0,117
"0",66,0,0,106.2
"0",116,0,0,104.14
"0",102,0,0,109
"0",34,0,0,108
"1",104,0,0,104.55
"1",280,0,0,110
"1",152,1,0,119.7
"0",0,0,0,203
"0",13,0,0,6
"0",8,0,0,180
"0",168,0,0,101.29
"0",6,0,0,69
"0",118,0,0,107.95
"0",29,0,0,95.95
"1",156,0,0,100
"1",391,0,0,62
"1",272,1,0,62
"1",293,1,0,62
"0",99,0,0,81
"0",0,0,0,150
"0",31,0,0,119.7
"0",15,0,0,64.67
"0",3,0,0,106
"0",40,0,0,68.5
"0",83,0,0,112.2
"0",92,0,0,74.8
"0",1,0,0,135
"0",43,0,0,160
"0",239,0,0,89.1
"1",12,0,0,62
"0",0,0,0,99.1
"1",1,0,0,120
"0",113,0,0,125
"0",15,0,0,0
"0",18,0,0,56.16
"0",152,0,0,48
"0",74,0,0,109
"0",105,0,0,116.8
"0",7,0,0,0
"0",61,0,0,78.54
"1",279,0,0,107.1
"0",178,0,0,114.3
"0",63,0,0,88.4
"0",50,0,0,85
"0",186,0,0,52.2
